id,title,author,publishedAt,freshnessDecision,sourceId,canonicalUrl,summary,collectedAt
3cfca2a9-2f7d-44ec-b454-eb462470c61a,OpenAI puts Pro subscriptions on hold due to Astra demand,Sarah Perez,2026-09-10 20:59:51+00:00,accepted_verified,techcrunch_ai,https://techcrunch.com/2026/09/10/openai-puts-pro-subscriptions-on-hold-due-to-astra-demand,"The company said Pro subscriptions put the most strain on its systems, so it's pausing sign-ups while adding more capacity.",2026-09-10 21:11:50.654041+00:00
e76970dc-ea75-426d-afd4-67552f78e7ce,Schools are catching on to Big Tech’s playbook,Lauren Feiner,2026-09-10 19:44:20+00:00,accepted_verified,the_verge_ai,https://www.theverge.com/policy/993308/computer-science-ai-education-coding-kids,"After documenting the adoption of tech-backed computer science curricula in schools, “Coding Kids” author Natasha Singer shares why she’s optimistic about educators’ response to the AI push.",2026-09-10 21:11:50.654041+00:00
90852334-bff9-4b4a-8dd5-743658e26309,Powering AI is an architecture problem,Ricardo De Azevedoarchive page,2026-09-10 11:00:00+00:00,accepted_verified,mit_tech_review_ai,https://www.technologyreview.com/2026/09/10/1141649/powering-ai-is-an-architecture-problem,"On July 22, 2026, a transmission line fault in Ashburn, Virginia—the heart of the world’s largest data center cluster—knocked more than 3 gigawatts of load off the grid in seconds. And it wasn’t the first time. Two years earlier, a single failed surge arrester dropped roughly 60 Virginia facilities and 1,500 megawatts at once. No…",2026-09-10 21:11:50.654041+00:00
19c67d9a-10c0-49e6-8d03-0f0ce0aa615e,"Anthropic details distillation campaigns from Alibaba, Moonshot AI, and DeepSeek",Russell Brandom,2026-09-10 20:57:30+00:00,accepted_verified,techcrunch_ai,https://techcrunch.com/2026/09/10/anthropic-details-distillation-campaigns-from-alibaba-moonshot-ai-and-deepseek,"A new report released Thursday by Anthropic alleges persistent distillation attacks by China-based AI companies, which have escalated in recent months as competition in the space has intensified.",2026-09-10 21:11:50.654041+00:00
43d5214d-42e6-4d25-9eb7-a6b73e3705de,Universal Music is launching an AI music platform with ElevenLabs,Emma Roth,2026-09-10 15:38:19+00:00,accepted_verified,the_verge_ai,https://www.theverge.com/ai-artificial-intelligence/993465/universal-music-elevenlabs-ai,Universal Music Group is partnering with the AI voice generator ElevenLabs to launch a new AI-powered music creation platform.,2026-09-10 21:11:50.654041+00:00
188b5790-7539-453e-b8e7-132a219ed3d7,Meta’s Muse AI works and creeps me out,Emma Roth,2026-09-10 15:00:00+00:00,accepted_verified,the_verge_ai,https://www.theverge.com/tech/993391/meta-muse-ai-hands-on,"Meta just debuted its personal AI assistant Muse. While Muse delivers on its promise of performing tasks in the background, it’s hard to use the tool without thinking about its connection to Meta.",2026-09-10 21:11:50.654041+00:00
fe394cfe-8f63-4ddf-bbeb-548a119c0a6d,Meta’s AI agent Muse is now the No. 2 app in the US,Sarah Perez,2026-09-10 19:50:04+00:00,accepted_verified,techcrunch_ai,https://techcrunch.com/2026/09/10/metas-ai-agent-muse-is-now-the-no-2-app-in-the-us,"Meta's newest app Muse is off to a slower start than the company's other apps, like Meta AI or Threads.",2026-09-10 21:11:50.654041+00:00
2191be3f-7ecf-4545-a34a-39d637691952,Why the current tech backlash feels different,Nick Statt,2026-09-10 14:00:00+00:00,accepted_verified,the_verge_ai,https://www.theverge.com/podcast/992141/decoder-mailbag-ai-backlash-surveillance-midterms-data-centers,"Answering your Decoder questions about surveillance, AI coverage, and the Nilay rant.",2026-09-10 21:11:50.654041+00:00
dd096297-4532-4004-aa94-35483e00452a,Mathematicians want proof OpenAI didn’t use their work,Robert Hart,2026-09-10 11:00:57+00:00,accepted_verified,the_verge_ai,https://www.theverge.com/ai-artificial-intelligence/993263/where-does-openai-get-mathematics-training-data,Another mathematician accused the company of ‘dishonesty’ after several big breakthroughs.,2026-09-10 21:11:50.654041+00:00
2b0c6c46-f295-459b-878c-cf3c26e50e59,"Anthropic reveals rogue AI agents hate CAPTCHAs, just like you",Tim Fernholz,2026-09-10 17:54:44+00:00,accepted_verified,techcrunch_ai,https://techcrunch.com/2026/09/10/anthropic-reveals-rogue-ai-agents-hate-captchas-just-like-you,Come inside the mind of a bot trying to convince the internet it's human.,2026-09-10 21:11:50.654041+00:00
011682da-11cd-4231-87a6-37ba8349bb0a,Suno releases its first AI music model made with record industry help,Terrence O'Brien,2026-09-09 21:42:19+00:00,accepted_verified,the_verge_ai,https://www.theverge.com/ai-artificial-intelligence/991977/suno-releases-its-first-ai-music-model-made-with-record-industry-help,Suno’s v6 AI music model still can’t capture the “natural imperfections” of real human performance.,2026-09-10 21:11:50.654041+00:00
2d6e9f55-3aaf-45a1-826f-9296b5ca2fca,OpenAI’s sly mathematical breakthrough sends a chill through academia,Robert Hart,2026-09-09 21:16:34+00:00,accepted_verified,the_verge_ai,https://www.theverge.com/ai-artificial-intelligence/992953/openai-math-millennium-prize-navier-stokes,"﻿OpenAI is disrupting mathematics, alright.",2026-09-10 21:11:50.654041+00:00
ab476eff-458d-4632-b8fe-d562fe9eca02,India’s Pocket FM doubles revenue run rate to $500M as AI powers 93% of audio content,Jagmeet Singh,2026-09-10 17:45:00+00:00,accepted_verified,techcrunch_ai,https://techcrunch.com/2026/09/10/indias-pocket-fm-doubles-revenue-run-rate-to-500m-as-ai-powers-93-of-audio-content,"Pocket FM uses AI to produce 99% of its new content, helping make content production about 80 times cheaper.",2026-09-10 21:11:50.654041+00:00
3539f61b-615b-44dd-a33c-5677e3fd6961,AI agents are flooding public services with new requests,Russell Brandom,2026-09-10 14:53:50+00:00,accepted_verified,techcrunch_ai,https://techcrunch.com/2026/09/10/ai-agents-are-flooding-public-services-with-new-requests,"“The vast majority of cases we find are people who are entitled to claim for something, claiming for that thing,” the researcher told TechCrunch.",2026-09-10 21:11:50.654041+00:00
8ea0a425-0001-4858-ac75-4455ce479e46,Maven Robotics wants to steal your robot deployment deal,Tim Fernholz,2026-09-10 14:17:37+00:00,accepted_verified,techcrunch_ai,https://techcrunch.com/2026/09/10/maven-robotics-wants-to-steal-your-robot-deployment-deal,Maven Robotics emerged from stealth today with a $100 million Series A and active deployments.,2026-09-10 21:11:50.654041+00:00
d9b6db2c-1553-471d-b88c-9b21af9fa836,AI research startup Listen Labs scrubbed a $1.5B funding round for Salesforce talks,Marina Temkin,2026-09-10 00:00:37+00:00,accepted_verified,techcrunch_ai,https://techcrunch.com/2026/09/09/ai-research-startup-listen-labs-scrubbed-a-1-5b-funding-round-for-salesforce-talks,"Listen Labs walked away from a signed Series C term sheet from Menlo Ventures, sources say.",2026-09-10 21:11:50.654041+00:00
